Onderdeel;Corrects;Attempts;Punten;Max
std-Opstarten;6;6;4;4
std-Connect;4;4;1;1
std-Disconnect;1;4;0.5;1
std-Berichten;4;4;1;1
std-BerichtNaVerandering;1;1;0.5;0.5
std-NetwerkPartitie;0;1;0;1
Opstarten;14;14;4;4
Connect;17;18;1;1
Disconnect;3;7;0.5;1
Berichten;8;8;1;1
BerichtNaVerandering;7;7;0.5;0.5
NetwerkPartitie;0;4;0;1
Fout in de locking;-;-;-2;-
BovenLimiet;0;1;0;1
Totaal;-;-;12;(van 18)

Let op: deze berekening is niet het definitieve cijfer. Dit is alleen maar een automatisch gegenereerde score voor het testbare gedeelte, en het staat nog niet vast dat we dit bij de beoordeling gebruiken.

------------------------------------

Testcase;Status;Tijd;Omschrijving
55500 < //SendRT 55507
55505 < //SendRT 55506
55507 < gottem
55506 < //SendRT 55503
55501 < gottem
55503 < //SendRT 55500
55500 < //SendRT 55506
55506 < gottem
55504 < gottem
55501 < //ReadRT 55502
55503 < //SendRT 55504
55500 < gottem
55505 < //SendRT 55503
55506 < //SendRT 55507
55501 < gottem
55503 < //New: 8
55501 < gottem
55500 < //SendRT 55506
55506 < //SendRT 55504
55503 < gottem
55501 < //SendRT 55505
55500 < gottem
55502 < //New: 55555505
55504 < //SendRT 55501
55503 < //SendRT 55500
55506 < gottem
55501 < //SendRT 55504
55500 < //SendRT 55506
55502 < //SendRT 55501
55503 < //SendRT 55506
55504 < //ReadRT 55501
55500 < //ReadRT 55503
55501 < //SendRT 55506
55502 < //ReadRT 55501
55507 < //SendRT 55500
55503 < gottem
55500 < //ReadRT 55503
55504 < gottem
55501 < gottem
55507 < //ReadRT 55500
55503 < //SendRT 55506
55506 < gottem
55500 < //ReadRT 55503
55503 < //SendRT 55504
55501 < //SendRT 55506
55504 < //SendRT 55501
55503 < //SendRT 55505
55500 < gottem
55501 < gottem
55507 < gottem
55503 < //SendRT 55506
55504 < gottem
55500 < //ReadRT 55507
55501 < //SendRT 55506
55503 < //ReadRT 55504
55501 < //ReadRT 55502
55500 < //SendRT 55506
55504 < //SendRT 55506
55507 < //SendRT 55506
55505 < gottem
55503 < gottem
55506 < //SendRT 55505
55501 < //ReadRT 55502
55500 < //New: 55555504
55504 < gottem
55503 < //SendRT 55505
55507 < gottem
55502 < //New: 55555504
55501 < gottem
55500 < //SendRT 55503
55503 < //ReadRT 55505
55507 < //SendRT 55506
55502 < //SendRT 55501
55506 < gottem
55505 < //SendRT 55501
55501 < //SendRT 55505
55500 < //SendRT 55506
55504 < //SendRT 55506
55503 < gottem
55507 < //Connection with port 55506 broke unexpectedly
55502 < //ReadRT 55501
55506 < //SendRT 55507
55505 < gottem
55501 < gottem
55500 < //SendRT 55507
55504 < gottem
55503 < //SendRT 55505
55507 < //ReadRT 55500
55506 < //SendRT 55500
55505 < gottem
55501 < //ReadRT 55505
55500 < //ReadRT 55506
55504 < //SendRT 55506
55503 < //ReadRT 55500
55506 < gottem
55505 < //SendRT 55501
55500 < //ReadRT 55506
55501 < //SendRT 55506
55504 < //ReadRT 55506
55503 < //ReadRT 55506
55506 < gottem
55505 < //New: 55555505
55500 < //ReadRT 55507
55501 < gottem
55504 < //ReadRT 55501
55503 < gottem
55506 < //SendRT 55500
55505 < //SendRT 55501
55500 < //New: 55555505
55501 < //SendRT 55506
55507 < //New: 55555504
55504 < //ReadRT 55503
55503 < //SendRT 55506
55506 < gottem
55505 < //SendRT 55503
55500 < //SendRT 55503
55507 < //SendRT 55500
55504 < //ReadRT 55503
55501 < //ReadRT 55506
55503 < gottem
55505 < //SendRT 55506
55506 < //SendRT 55501
55500 < //SendRT 55506
55507 < //SendRT 55506
55504 < gottem
55501 < //ReadRT 55505
55503 < //SendRT 55506
55506 < gottem
55505 < //ReadRT 55501
55500 < //SendRT 55507
55507 < //ReadRT 55500
55504 < //SendRT 55506
55501 < //ReadRT 55506
55503 < gottem
55505 < //ReadRT 55503
55506 < //SendRT 55501
55500 < //ReadRT 55503
55507 < //New: 55555505
55504 < gottem
55501 < //New: 55555505
55503 < //SendRT 55506
55505 < //SendRT 55506
55506 < gottem
55500 < //ReadRT 55507
55507 < //SendRT 55500
55504 < //SendRT 55506
55501 < //ReadRT 55506
55503 < //New: 55555505
55505 < //ReadRT 55501
55506 < //SendRT 55501
55500 < //ReadRT 55503
55507 < //SendRT 55506
55504 < //ReadRT 55506
55501 < //SendRT 55502
55503 < //SendRT 55500
55505 < gottem
55506 < //ReadRT 55501
55500 < //ReadRT 55506
55507 < //ReadRT 55500
55504 < //ReadRT 55503
55501 < //SendRT 55504
55503 < //SendRT 55504
55505 < //SendRT 55506
55506 < //SendRT 55504
55500 < //ReadRT 55506
55504 < //New: 55555505
55501 < //SendRT 55505
55503 < //SendRT 55505
55505 < gottem
55506 < //ReadRT 55504
55504 < //SendRT 55501
55500 < //ReadRT 55507
55501 < //SendRT 55506
55503 < //SendRT 55506
55506 < //ReadRT 55503
55505 < //SendRT 55506
55504 < //SendRT 55503
55501 < //ReadRT 55505
55506 < //ReadRT 55503
55503 < //ReadRT 55505
55505 < //ReadRT 55506
55504 < //SendRT 55506
55501 < //ReadRT 55504
55506 < //Connection with port 55505 broke unexpectedly
55503 < //New: 55555504
55505 < gottem
55504 < //ReadRT 55501
55501 < //ReadRT 55504
55506 < //ReadRT 55500
55503 < //SendRT 55500
55505 < //SendRT 55506
55504 < //ReadRT 55503
55501 < //ReadRT 55504
55506 < //ReadRT 55500
55503 < //SendRT 55504
55505 < gottem
55504 < //New: 55555504
55501 < //New: 55555504
55506 < //ReadRT 55500
55503 < //SendRT 55505
55505 < //SendRT 55506
55504 < //SendRT 55501
55501 < //ReadRT 55504
55506 < //ReadRT 55500
55503 < //SendRT 55506
55505 < //ReadRT 55503
55504 < //SendRT 55503
55506 < //ReadRT 55507
55501 < //SendRT 55502
55503 < //ReadRT 55500
55505 < //ReadRT 55503
55504 < //SendRT 55506
55506 < //ReadRT 55507
55501 < //SendRT 55504
55505 < //ReadRT 55503
55504 < //ReadRT 55503
55503 < //ReadRT 55506
55506 < //ReadRT 55504
55501 < //SendRT 55505
55504 < //ReadRT 55506
55503 < //ReadRT 55504
55506 < //ReadRT 55504
55501 < //SendRT 55506
55505 < //ReadRT 55501
55504 < //ReadRT 55506
55503 < //ReadRT 55506
55506 < //ReadRT 55501
55505 < //ReadRT 55501
55501 < //ReadRT 55506
55504 < //ReadRT 55501
55503 < //ReadRT 55500
55506 < //ReadRT 55501
55505 < //ReadRT 55503
55501 < //ReadRT 55504
55503 < //ReadRT 55504
55501 < //ReadRT 55506
55505 < //New: 55555504
55506 < //ReadRT 55501
55503 < //ReadRT 55505
55501 < //ReadRT 55502
55505 < //SendRT 55501
55506 < //ReadRT 55503
55501 < //ReadRT 55505
55505 < //SendRT 55503
55506 < //ReadRT 55503
55501 < //ReadRT 55502
55505 < //SendRT 55506
55506 < //ReadRT 55503
55505 < //ReadRT 55506
55506 < //ReadRT 55503
55505 < //ReadRT 55503
55506 < //ReadRT 55503
55505 < //ReadRT 55506
55506 < //ReadRT 55507
55505 < //ReadRT 55501
55506 < //ReadRT 55500
55506 < //New: 55555504
55506 < //SendRT 55500
55506 < //SendRT 55501
55506 < //SendRT 55503
55506 < //SendRT 55507
55506 < //SendRT 55504
55506 < //ReadRT 55504
55506 < //SendRT 55505
55506 < //ReadRT 55500
55506 < //New: 55555505
55506 < //ReadRT 55504
55506 < //ReadRT 55504
55506 < //SendRT 55500
55506 < //SendRT 55501
55506 < //ReadRT 55501
55506 < //ReadRT 55504
55506 < //SendRT 55503
55506 < //SendRT 55507
55506 < //SendRT 55504
55506 < //SendRT 55505
55506 < //ReadRT 55503
55506 < //ReadRT 55503
55506 < //ReadRT 55507
55506 < //ReadRT 55500
55506 < //ReadRT 55501
55506 < //ReadRT 55501
55506 < //ReadRT 55504
55506 < //ReadRT 55501
55506 < //ReadRT 55507
55507 < //Connection with port 55506 regained
55506 < //Connection with port 55505 regained
55507 < Afstand naar 55555504 is nu 2 via 55506
55506 < gottem
55505 < //ReadRT 55506
55500 < //ReadRT 55507
55506 < //SendRT 55505
55505 < //ReadRT 55506
55507 < //SendRT 55500
55506 < gottem
55507 < //SendRT 55506
55507 < //ReadRT 55506
55506 < //SendRT 55505
55507 < gottem
55506 < //ReadRT 55507
55507 < //SendRT 55506
55506 < //ReadRT 55507
55507 < //ReadRT 55506
55506 < //Connection with port 55505 broke unexpectedly
55507 < //ReadRT 55506
55506 < //Connection with port 55505 regained
55506 < Afstand naar 55555505 is nu 3 via 55505
55506 < //SendRT 55500
55500 < //ReadRT 55506
55506 < //SendRT 55501
55501 < //ReadRT 55506
55506 < //SendRT 55503
55503 < //ReadRT 55506
55507 < Afstand naar 55555505 is nu 4 via 55506
55506 < //SendRT 55507
55506 < //SendRT 55504
55507 < //SendRT 55500
55500 < //ReadRT 55507
55506 < //SendRT 55505
55504 < //ReadRT 55506
55505 < //ReadRT 55506
55507 < //SendRT 55506
55506 < //ReadRT 55505
55506 < //ReadRT 55505
55507 < //ReadRT 55506
55506 < //ReadRT 55507
55506 < //ReadRT 55505
55506 < //ReadRT 55505
55506 < //ReadRT 55505
55500 > R
55501 > R
55502 > R
55500 < 55504 2 55503
55503 > R
55504 > R
55501 < 55555505 3 55505
55505 > R
55502 < 55502 0 local
55506 > R
55507 > R
55500 < 55500 0 local
55503 < 55555505 3 55505
55504 < 55555505 4 55501
55506 < 55507 1 55507
55508 > R
55505 < 55505 0 local
55502 < 55507 3 55501
55507 < 55507 0 local
55508 < 55508 0 local
55503 < 55503 0 local
55501 < 55503 2 55505
55500 < 55502 3 55506
55504 < 55503 1 55503
55506 < 55500 1 55500
55502 < 55501 1 55501
55505 < 55501 1 55501
55507 < 55500 1 55500
55503 < 55505 1 55505
55501 < 55505 1 55505
55500 < 55501 2 55506
55504 < 55502 2 55501
55506 < 55506 0 local
55502 < 555055507 5 55501
55505 < 55503 1 55503
55507 < 55506 1 55506
55503 < 55501 2 55505
55501 < 55501 0 local
55500 < 55555504 2 55506
55504 < 55500 2 55503
55506 < 55505 1 55505
55502 < 55504 2 55501
55505 < 55506 1 55506
55507 < 55505 2 55506
55500 < 55503 1 55503
55503 < 55506 1 55506
55501 < 55506 1 55506
55504 < 55501 1 55501
55506 < 55501 1 55501
55502 < 55506 2 55501
55505 < 55555505 2 55501
55507 < 55501 2 55506
55500 < 55505 2 55503
55501 < 55502 1 55502
55503 < 55502 3 55500
55504 < 55504 0 local
55506 < 55503 1 55503
55505 < 55502 2 55501
55502 < 55505 2 55501
55507 < 55503 2 55500
55500 < 55506 1 55506
55501 < 55500 2 55506
55503 < 55500 1 55500
55504 < 55505 2 55501
55506 < 55502 2 55501
55505 < 55500 2 55503
55502 < 55503 3 55501
55507 < 55502 3 55500
55500 < 55507 1 55507
55501 < 55504 1 55504
55503 < 55504 1 55504
55504 < 55506 1 55506
55506 < 55504 1 55504
55505 < 55504 2 55501
55502 < 55500 3 55501
55507 < 55504 2 55506
55500 < 555055507 3 55507
55501 < 55507 2 55506
55503 < 55507 2 55500
55504 < 55507 2 55506
55506 < 55555504 3 55500
55505 < 55507 2 55506
55502 < 55555505 4 55501
55500 < 8 4 55503
55507 < 55555504 2 55506
55501 < 8 5 55505
55503 < 555055507 4 55506
55506 < 555055507 3 55507
55504 < 555055507 4 55506
55502 < 8 6 55501
55505 < 555055507 4 55506
55500 < 55555505 4 55503
55507 < 555055507 2 55500
55501 < 555055507 4 55506
55503 < 8 5 55504
55506 < 8 4 55503
55504 < 8 4 55503
55502 < 55555504 5 55501
55505 < 8 4 55503
55507 < 8 5 55500
55501 < 55555504 4 55506
55506 < 55555505 3 55505
55503 < 55555504 3 55500
55504 < 55555504 4 55503
55505 < 55555504 4 55506
55507 < 55555505 4 55506

Process 55500:
> D 55502
//Connection broken with port 55502
Verbroken: 55502
gottem
//SendRT 55501
gottem
//SendRT 55501
//New: 55502
//New: 55504
//SendRT 55501
//SendRT 55503
//SendRT 55506
gottem
gottem
//SendRT 55507
//ReadRT 55501
gottem
gottem
//SendRT 55507
//SendRT 55503
//SendRT 55501
gottem
gottem
//SendRT 55503
gottem
gottem
//SendRT 55503
//SendRT 55506
gottem
//SendRT 55506
gottem
//ReadRT 55503
//SendRT 55506
gottem
//SendRT 55501
//SendRT 55506
//ReadRT 55506
//ReadRT 55503
//SendRT 55507
//ReadRT 55507
//ReadRT 55506
//New: 555055507
//SendRT 55501
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55507
//ReadRT 55506
//ReadRT 55503
//ReadRT 55503
//ReadRT 55501
1111
gottem
//SendRT 55501
gottem
gottem
gottem
//SendRT 55501
//SendRT 55506
//SendRT 55503
//ReadRT 55501
//ReadRT 55503
//ReadRT 55507
//ReadRT 55506
//ReadRT 55506
gottem
//ReadRT 55503
//SendRT 55506
//New: 8
//SendRT 55501
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55503
//ReadRT 55501
//ReadRT 55506
//ReadRT 55507
//ReadRT 55506
> D 55501
//Connection broken with port 55501
Verbroken: 55501
gottem
gottem
gottem
//SendRT 55507
//SendRT 55503
//New: 55505
//New: 55501
//New: 55502
//New: 55504
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55503
//ReadRT 55507
//SendRT 55506
Afstand naar 55501 is nu 2 via 55506
Afstand naar 55502 is nu 3 via 55506
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55506
gottem
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55507
gottem
//SendRT 55503
gottem
//SendRT 55506
gottem
//SendRT 55506
//SendRT 55503
1111
1111
gottem
gottem
gottem
//SendRT 55507
//SendRT 55503
//SendRT 55506
gottem
gottem
//SendRT 55507
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
gottem
//ReadRT 55507
//SendRT 55506
//New: 55555504
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55506
//ReadRT 55506
//ReadRT 55507
//New: 55555505
//SendRT 55503
//SendRT 55506
//SendRT 55507
//ReadRT 55503
//ReadRT 55507
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55507
//ReadRT 55507
//ReadRT 55506
//ReadRT 55507
> R
55504 2 55503
55500 0 local
55502 3 55506
55501 2 55506
55555504 2 55506
55503 1 55503
55505 2 55503
55506 1 55506
55507 1 55507
555055507 3 55507
8 4 55503
55555505 4 55503

Process 55501:
1111
1111
1111
1111
gottem
//SendRT 55502
//ReadRT 55502
//ReadRT 55505
gottem
//SendRT 55500
//ReadRT 55500
//ReadRT 55502
//ReadRT 55500
//ReadRT 55506
//ReadRT 55506
//ReadRT 55505
//ReadRT 55504
//ReadRT 55502
//ReadRT 55504
//ReadRT 55500
gottem
//SendRT 55506
gottem
gottem
gottem
//SendRT 55506
gottem
//SendRT 55505
gottem
//SendRT 55505
//SendRT 55506
//SendRT 55504
gottem
//ReadRT 55502
//SendRT 55504
//ReadRT 55500
//ReadRT 55502
//Connection with port 55504 broke unexpectedly
//ReadRT 55500
//ReadRT 55505
//ReadRT 55505
//Connection with port 55506 broke unexpectedly
//New: 555055507
//SendRT 55500
//SendRT 55502
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55500
//ReadRT 55502
//ReadRT 55505
//Connection with port 55504 regained
//Connection with port 55506 regained
//ReadRT 55504
//ReadRT 55504
//ReadRT 55506
//ReadRT 55504
//ReadRT 55506
//ReadRT 55506
//ReadRT 55505
1111
1111
gottem
//SendRT 55502
//ReadRT 55502
//ReadRT 55500
//ReadRT 55505
//ReadRT 55506
//ReadRT 55502
gottem
gottem
//SendRT 55500
//SendRT 55504
//ReadRT 55504
gottem
//SendRT 55506
//ReadRT 55500
//ReadRT 55506
//ReadRT 55502
//ReadRT 55505
//ReadRT 55504
//ReadRT 55504
gottem
gottem
//SendRT 55506
//SendRT 55505
//New: 8
//SendRT 55500
//SendRT 55502
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55500
//ReadRT 55504
//ReadRT 55506
//ReadRT 55505
//ReadRT 55502
//ReadRT 55506
//Connection broken with port 55500
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
gottem
gottem
//SendRT 55505
gottem
//SendRT 55502
//New: 555055507
//New: 8
//SendRT 55502
//SendRT 55504
//SendRT 55504
//ReadRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55505
//New: 55500
//ReadRT 55505
//SendRT 55502
//SendRT 55504
//SendRT 55506
gottem
//SendRT 55505
//SendRT 55506
//ReadRT 55504
//ReadRT 55502
//SendRT 55506
gottem
//SendRT 55506
Afstand naar 55500 is nu 2 via 55506
Afstand naar 555055507 is nu 4 via 55506
//ReadRT 55502
//SendRT 55502
//SendRT 55504
//ReadRT 55502
//SendRT 55505
//SendRT 55506
//ReadRT 55506
1111
1111
1111
gottem
gottem
//SendRT 55504
gottem
//SendRT 55505
gottem
//SendRT 55506
//SendRT 55502
gottem
//ReadRT 55502
gottem
gottem
//SendRT 55505
//SendRT 55504
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55502
//ReadRT 55502
gottem
//SendRT 55505
gottem
//ReadRT 55505
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55505
//ReadRT 55506
//New: 55555505
//ReadRT 55506
//SendRT 55502
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55505
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//New: 55555504
//ReadRT 55504
//SendRT 55502
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55506
//ReadRT 55504
//ReadRT 55506
//ReadRT 55502
//ReadRT 55505
//ReadRT 55502
//ReadRT 55506
> R
55555505 3 55505
55503 2 55505
55505 1 55505
55501 0 local
55506 1 55506
55502 1 55502
55500 2 55506
55504 1 55504
55507 2 55506
8 5 55505
555055507 4 55506
55555504 4 55506

Process 55502:
//Connection broken with port 55500
gottem
//SendRT 55501
//New: 55500
//New: 55507
//SendRT 55501
//SendRT 55504
//ReadRT 55501
gottem
//SendRT 55501
gottem
gottem
//SendRT 55504
//SendRT 55501
gottem
gottem
//SendRT 55501
//SendRT 55504
gottem
//SendRT 55504
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//New: 555055507
//SendRT 55501
//SendRT 55504
//ReadRT 55504
//ReadRT 55501
//Connection broken with port 55504
gottem
//SendRT 55501
//New: 55508
//New: 55503
//New: 55506
//New: 55504
//New: 555055507
//SendRT 55501
//ReadRT 55501
gottem
//SendRT 55501
//New: 8
//SendRT 55501
//ReadRT 55501
1111
gottem
//SendRT 55501
//ReadRT 55501
//ReadRT 55501
//New: 55500
//SendRT 55501
//ReadRT 55501
Afstand naar 55500 is nu 3 via 55501
//SendRT 55501
//ReadRT 55501
1111
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55501
//ReadRT 55501
//New: 55555505
//SendRT 55501
//ReadRT 55501
//New: 55555504
//SendRT 55501
//ReadRT 55501
> R
55502 0 local
55507 3 55501
55501 1 55501
555055507 5 55501
55504 2 55501
55506 2 55501
55505 2 55501
55503 3 55501
55500 3 55501
55555505 4 55501
8 6 55501
55555504 5 55501

Process 55503:
1111
1111
1111
gottem
gottem
gottem
gottem
//SendRT 55505
//SendRT 55500
gottem
//SendRT 55504
//SendRT 55506
gottem
//SendRT 55504
//New: 55502
gottem
//SendRT 55500
gottem
//SendRT 55508
//SendRT 55505
//ReadRT 55505
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55504
Afstand naar 55502 is nu 2 via 55504
//SendRT 55506
//ReadRT 55506
//SendRT 55504
//SendRT 55508
//SendRT 55505
//SendRT 55506
//ReadRT 55500
//ReadRT 55500
//ReadRT 55508
//ReadRT 55500
//ReadRT 55500
//SendRT 55500
//SendRT 55504
//SendRT 55508
//SendRT 55505
//SendRT 55506
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//ReadRT 55504
//ReadRT 55508
//ReadRT 55506
//ReadRT 55506
//ReadRT 55506
//New: 555055507
//SendRT 55500
//SendRT 55504
//SendRT 55508
//ReadRT 55505
//SendRT 55505
//SendRT 55506
//ReadRT 55506
//ReadRT 55500
//ReadRT 55504
//ReadRT 55505
//ReadRT 55508
//ReadRT 55508
//ReadRT 55505
//ReadRT 55505
1111
gottem
//SendRT 55504
gottem
gottem
//SendRT 55500
//SendRT 55506
//New: 55502
//ReadRT 55504
//SendRT 55500
//SendRT 55504
gottem
gottem
gottem
//SendRT 55508
//SendRT 55505
//SendRT 55506
//SendRT 55508
//ReadRT 55508
//ReadRT 55506
//SendRT 55506
//ReadRT 55500
//ReadRT 55504
//SendRT 55505
//ReadRT 55505
//New: 8
//SendRT 55500
//SendRT 55504
//SendRT 55508
//ReadRT 55500
//SendRT 55505
//SendRT 55506
//ReadRT 55508
//ReadRT 55504
//ReadRT 55506
//ReadRT 55505
//ReadRT 55506
1111
1111
1111
gottem
//SendRT 55500
gottem
//SendRT 55506
//ReadRT 55500
//ReadRT 55500
//ReadRT 55508
//ReadRT 55505
//ReadRT 55504
gottem
//SendRT 55504
gottem
//SendRT 55505
//ReadRT 55500
//Connection with port 55506 broke unexpectedly
//ReadRT 55505
//ReadRT 55504
//ReadRT 55500
//ReadRT 55508
//ReadRT 55508
//ReadRT 55504
//ReadRT 55504
//ReadRT 55505
//ReadRT 55505
//ReadRT 55500
//Connection with port 55506 regained
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55506
> D 55508
//Connection broken with port 55508
Verbroken: 55508
gottem
gottem
gottem
//SendRT 55500
//SendRT 55506
gottem
//SendRT 55504
gottem
//SendRT 55505
gottem
//SendRT 55500
//SendRT 55504
//New: 8
gottem
//SendRT 55500
//SendRT 55506
gottem
//SendRT 55506
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55504
gottem
//SendRT 55505
//ReadRT 55505
gottem
//SendRT 55505
//ReadRT 55500
//ReadRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//New: 55555505
//SendRT 55500
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55505
//New: 55555504
//SendRT 55500
//SendRT 55504
//SendRT 55505
//SendRT 55506
//ReadRT 55500
//ReadRT 55506
//ReadRT 55504
//ReadRT 55506
//ReadRT 55500
//ReadRT 55504
//ReadRT 55505
//ReadRT 55506
> R
55555505 3 55505
55503 0 local
55505 1 55505
55501 2 55505
55506 1 55506
55502 3 55500
55500 1 55500
55504 1 55504
55507 2 55500
555055507 4 55506
8 5 55504
55555504 3 55500

Process 55504:
1111
1111
1111
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55502
//New: 55500
gottem
//SendRT 55501
//SendRT 55503
gottem
//SendRT 55502
//SendRT 55506
//SendRT 55503
//SendRT 55506
//ReadRT 55502
gottem
//ReadRT 55502
//SendRT 55501
gottem
//SendRT 55503
Afstand naar 55500 is nu 2 via 55501
gottem
//SendRT 55501
//SendRT 55506
gottem
//SendRT 55502
//SendRT 55503
//SendRT 55506
//ReadRT 55501
//SendRT 55506
//ReadRT 55506
gottem
//ReadRT 55501
//SendRT 55506
//ReadRT 55506
//ReadRT 55506
//ReadRT 55502
//ReadRT 55502
//Connection with port 55503 broke unexpectedly
//ReadRT 55506
//New: 555055507
//SendRT 55501
//SendRT 55502
//SendRT 55503
//SendRT 55506
//ReadRT 55506
//ReadRT 55501
//ReadRT 55502
//Connection with port 55503 regained
//ReadRT 55503
//Connection with port 55503 broke unexpectedly
//Connection with port 55503 regained
//ReadRT 55503
//ReadRT 55503
> D 55502
//Connection broken with port 55502
Verbroken: 55502
gottem
//SendRT 55501
gottem
gottem
//SendRT 55503
//SendRT 55501
gottem
//SendRT 55506
//New: 55502
//ReadRT 55503
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55501
//ReadRT 55506
gottem
//SendRT 55506
//ReadRT 55503
//New: 8
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55503
//ReadRT 55501
//ReadRT 55506
//ReadRT 55506
1111
gottem
//SendRT 55503
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55501
gottem
//SendRT 55506
gottem
//SendRT 55503
gottem
gottem
//SendRT 55503
//New: 55500
//SendRT 55501
//SendRT 55503
//Connection with port 55501 broke unexpectedly
//SendRT 55506
//ReadRT 55503
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//Connection with port 55501 regained
//ReadRT 55501
//ReadRT 55501
1111
1111
gottem
//SendRT 55503
gottem
//SendRT 55506
gottem
//SendRT 55501
gottem
//SendRT 55501
//ReadRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55501
//ReadRT 55503
//ReadRT 55503
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55503
//New: 55555505
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55501
//ReadRT 55503
//New: 55555504
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55503
//ReadRT 55506
//ReadRT 55506
//ReadRT 55501
//ReadRT 55506
> R
55555505 4 55501
55503 1 55503
55502 2 55501
55500 2 55503
55501 1 55501
55504 0 local
55505 2 55501
55506 1 55506
55507 2 55506
555055507 4 55506
8 4 55503
55555504 4 55503

Process 55505:
1111
1111
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
gottem
//SendRT 55506
//SendRT 55503
gottem
//SendRT 55501
gottem
gottem
//SendRT 55503
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55501
//ReadRT 55501
//Connection with port 55506 broke unexpectedly
//Connection with port 55503 broke unexpectedly
//New: 555055507
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55501
//Connection with port 55506 regained
//Connection with port 55503 regained
gottem
//ReadRT 55506
//ReadRT 55506
//SendRT 55503
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
Afstand naar 555055507 is nu 4 via 55506
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55506
1111
gottem
//SendRT 55501
gottem
//SendRT 55501
gottem
//SendRT 55506
gottem
//SendRT 55503
gottem
//SendRT 55506
//ReadRT 55501
//Connection with port 55503 broke unexpectedly
//ReadRT 55506
//Connection with port 55503 regained
//New: 8
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55503
//ReadRT 55501
//ReadRT 55506
//ReadRT 55506
1111
gottem
gottem
//SendRT 55503
//SendRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55501
gottem
gottem
//SendRT 55503
//SendRT 55506
gottem
gottem
//SendRT 55503
//New: 55500
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55503
//ReadRT 55501
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
//ReadRT 55501
//ReadRT 55501
//ReadRT 55501
1111
1111
1111
gottem
gottem
//SendRT 55506
//SendRT 55503
gottem
//SendRT 55501
gottem
gottem
//SendRT 55501
//New: 55555505
//SendRT 55501
//SendRT 55503
//SendRT 55506
//ReadRT 55501
//ReadRT 55503
//SendRT 55506
//ReadRT 55501
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55506
gottem
//SendRT 55506
gottem
//SendRT 55506
//ReadRT 55503
//ReadRT 55503
//ReadRT 55503
//ReadRT 55501
//ReadRT 55501
//ReadRT 55503
